Categoria,Area construida,Preço,Quartos,Banheiros,Vagas,Bairro
Apartamentos,177m²,1100000,4,5 ou mais,2,Centro
Apartamentos,124m²,690000,3,2,2,Jóquei
Apartamentos,255m²,1800000,4,5 ou mais,3,Horto
Casas,130m²,661000,3,3,2,Vale Quem Tem
Casas,90m²,250000,3,2,2,Aroeiras
Apartamentos,105m²,750000,3,2,2,Fátima
Apartamentos,101m²,370000,2,2,1,São Cristóvão
Apartamentos,244m²,2000000,4,5 ou mais,3,São Cristóvão
Apartamentos,187m²,1210000,4,4,3,Noivos
Apartamentos,224m²,1800000,3,4,3,Jóquei
Apartamentos,59m²,624248,1,1,1,São Cristóvão
Apartamentos,227m²,23000000,4,5 ou mais,3,Jóquei
Apartamentos,304m²,1900000,4,5 ou mais,,Jóquei
Apartamentos,127m²,1150000,3,4,2,Fátima
Apartamentos,77m²,345000,3,3,1,Morada do Sol
Apartamentos,74m²,355000,3,2,1,Santa Isabel
Casas,205m²,1100000,4,4,5 ou mais,Porto do Centro
Apartamentos,48m²,170000,2,1,1,Bom Princípio
Apartamentos,141m²,1174400,3,4,3,São Cristóvão
Casas,59m²,240000,2,2,2,Mocambinho
Apartamentos,118m²,878000,3,4,2,São Cristóvão
Apartamentos,119m²,950000,3,4,2,São Cristóvão
Apartamentos,64m²,370000,3,1,1,São Sebastião
Apartamentos,224m²,1800000,3,4,3,Jóquei
Apartamentos,50m²,196000,2,1,1,Vale Quem Tem
Apartamentos,77m²,300000,3,3,1,Porto do Centro
Casas,217m²,750000,4,4,5 ou mais,Ininga
Apartamentos,800m²,3000000,5 ou mais,5 ou mais,5 ou mais,Ilhotas
Apartamentos,49m²,150000,2,1,1,Uruguai
Apartamentos,69m²,450000,3,2,2,Noivos
Apartamentos,50m²,450000,3,2,1,Ininga
Casas,209m²,1600000,4,1,2,Uruguai
Casas,182m²,980000,4,5 ou mais,3,Horto
Casas,122m²,598535,4,4,3,Morros
Apartamentos,66m²,190000,2,2,1,Colorado
Apartamentos,86m²,562000,3,3,2,Jóquei
Casas,134m²,660000,3,3,2,Piçarreira
Apartamentos,56m²,221921,2,1,2,Uruguai
Apartamentos,96m²,290000,3,2,1,Noivos
Apartamentos,60m²,300000,2,2,1,Santa Isabel
Apartamentos,96m²,330000,3,3,2,São Pedro
Apartamentos,77m²,459100,3,2,2,São Cristóvão
Apartamentos,50m²,170000,1,1,1,Cabral
Apartamentos,62m²,205000,3,2,1,Novo Horizonte
Apartamentos,66m²,360000,3,2,2,Cristo Rei
Apartamentos,62m²,270000,3,2,2,Recanto das Palmeiras
Casas,240m²,780000,4,5 ou mais,4,Santa Isabel
Casas,276m²,720000,4,4,2,Morada do Sol
Apartamentos,70m²,390000,1,1,2,Ininga
Apartamentos,68m²,185000,3,2,1,Uruguai
Apartamentos,80m²,220000,3,2,1,Cidade Nova
Casas,158m²,680000,4,5 ou mais,2,Socopo
Casas,98m²,444900,3,3,2,Morros
Apartamentos,77m²,415000,3,2,1,Ininga
Casas,260000m²,940000,3,4,5 ou mais,Morada do Sol
Casas,237m²,1250000,4,1,5 ou mais,Fátima
Apartamentos,78m²,498100,3,2,2,Monte Castelo
Casas,370m²,550000,4,4,2,Centro
Apartamentos,104m²,770000,3,2,0,Frei Serafim
Apartamentos,99m²,160000,2,2,1,Uruguai
Apartamentos,49m²,90000,2,1,1,Lourival Parente
Casas,220m²,750000,4,5 ou mais,3,Morros
Apartamentos,56m²,165000,2,1,1,Todos os Santos
Apartamentos,62m²,180000,3,2,1,Todos os Santos
Apartamentos,62m²,329500,3,2,2,Nossa Senhora das Graças
Apartamentos,90m²,240000,3,2,1,São Cristóvão
Apartamentos,74m²,345000,3,2,1,Santa Isabel
Casas,120m²,330000,3,1,1,Parque Piauí
Casas,200m²,600000,2,1,1,Parque Ideal
Apartamentos,59m²,160000,2,2,1,Uruguai
Casas,100m²,650000,4,1,4,Marquês
Apartamentos,75m²,328000,3,2,1,Jóquei
Apartamentos,77m²,270000,3,3,1,Campestre
Apartamentos,41m²,190000,2,1,1,Morada do Sol
Casas,90m²,400000,3,3,2,Gurupi
Casas,89m²,438000,3,2,2,Gurupi
Apartamentos,49m²,160000,2,2,1,Angelim
Apartamentos,46m²,180000,2,1,0,Novo Horizonte
Apartamentos,130m²,1025172,3,1,3,Fátima
Casas,228m²,1600000,4,4,2,Uruguai
Casas,270m²,1750000,4,4,2,Tabajaras
Casas,138m²,720000,4,4,2,Zoobotânico
Apartamentos,142m²,1159400,2,4,3,São Cristóvão
Apartamentos,56m²,329500,2,2,1,Nossa Senhora das Graças
Casas,311m²,3500000,4,5 ou mais,5 ou mais,Tabajaras
Apartamentos,46m²,129900,2,1,1,Vale do Gavião
Casas,130m²,560000,3,4,3,Jóquei
Apartamentos,63m²,330000,3,2,2,Piçarreira
Apartamentos,60m²,280000,2,1,1,Uruguai
Apartamentos,77m²,330000,3,2,2,Uruguai
Apartamentos,70m²,350000,3,2,1,Jóquei
Casas,100m²,420000,3,3,2,Gurupi
Apartamentos,187m²,1207000,3,3,2,Noivos
Apartamentos,50m²,145000,2,1,1,Aroeiras
Casas,441m²,200000,5 ou mais,1,,Piçarreira
Apartamentos,187m²,700000,4,4,2,Horto
Apartamentos,78m²,498100,3,2,2,Monte Castelo
Apartamentos,237m²,1381826,3,1,2,Jóquei
Casas,120m²,628000,4,1,2,Gurupi
Apartamentos,50m²,207360,2,1,1,Uruguai
Casas,99m²,435000,3,1,2,Gurupi
Apartamentos,74m²,504000,3,2,1,Santa Isabel
Apartamentos,81m²,230000,3,3,1,São João
Apartamentos,90m²,472600,3,1,2,São Cristóvão
Casas,140m²,750000,4,5 ou mais,2,Zoobotânico
Casas,240m²,600000,3,1,4,Morada do Sol
Casas,160m²,380000,4,4,3,Saci
Apartamentos,67m²,280000,3,1,1,Noivos
Apartamentos,227m²,2000000,4,5 ou mais,4,Jóquei
Casas,240m²,770000,3,4,4,Morros
Apartamentos,50m²,110000,1,2,1,
Apartamentos,107m²,480000,3,3,2,Horto
Apartamentos,130m²,1000000,3,3,2,Fátima
Casas,200m²,250000,2,1,2,Itararé
Apartamentos,38m²,180500,2,2,2,Uruguai
Casas,210m²,1150000,4,4,2,Morros
Apartamentos,190m²,850000,3,3,2,Ininga
Apartamentos,54m²,288500,2,2,2,São Cristóvão
Apartamentos,69m²,240000,3,2,1,Centro
Apartamentos,49m²,130000,2,1,1,Santa Maria
Apartamentos,76m²,630000,3,3,2,Horto
Apartamentos,38m²,157500,2,1,1,Gurupi
Apartamentos,69m²,220000,2,2,1,Horto
Apartamentos,75m²,230000,3,1,1,Piçarreira
Apartamentos,64m²,300000,3,2,1,Gurupi
Apartamentos,76m²,580000,3,2,2,Horto
Apartamentos,196m²,890000,4,1,2,Frei Serafim
Apartamentos,168m²,1657000,3,3,2,Jóquei
Casas,350m²,1300000,3,3,4,Ininga
Casas,200m²,500000,3,2,1,Morro da Esperança
Apartamentos,56m²,225000,2,1,1,Aeroporto
Apartamentos,60m²,240000,2,1,2,Aeroporto
Apartamentos,71m²,390000,3,2,2,Noivos
Apartamentos,47m²,130000,2,1,1,Vale do Gavião
Apartamentos,48m²,160000,2,1,1,Cidade Jardim
Casas,69m²,155000,2,1,1,Santa Maria
Apartamentos,45m²,200000,2,1,,Noivos
Casas,151m²,780000,4,1,2,Samapi
Casas,107m²,589325,4,4,3,Morros
Apartamentos,68m²,381957,3,2,1,Três Andares
Apartamentos,72m²,280000,3,2,1,Piçarreira
Casas,360m²,1100000,4,1,5 ou mais,Ininga
Apartamentos,130m²,450000,3,3,0,São Cristóvão
Apartamentos,73m²,400000,3,2,2,Recanto das Palmeiras
Apartamentos,64m²,300000,3,2,2,São João
Casas,220m²,485000,3,3,2,Parque São João
Casas,88m²,420000,3,4,2,Morros
Casas,77m²,352800,3,3,2,Novo Uruguai
Casas,600m²,1000000,4,4,5 ou mais,Planalto
Casas,550m²,1400000,5 ou mais,5 ou mais,5 ou mais,Campestre
Apartamentos,77m²,325000,3,3,1,Campestre
Casas,216m²,1100000,4,5 ou mais,2,Gurupi
Apartamentos,206m²,1760000,4,4,3,Jóquei
Casas,280m²,1400000,4,4,5 ou mais,Ininga
Casas,175m²,890000,4,5 ou mais,4,Gurupi
Apartamentos,69m²,210000,3,2,1,Cristo Rei
Apartamentos,81m²,240000,3,2,1,Porenquanto
Apartamentos,161m²,800000,3,2,2,Jóquei
Casas,180m²,730000,4,4,4,Morros
Apartamentos,45m²,145000,2,1,1,Morros
Casas,243m²,780000,4,3,4,São João
Casas,180m²,250000,3,3,1,Mocambinho
Casas,300m²,350000,3,1,2,Vale Quem Tem
Apartamentos,76m²,375000,3,2,2,Morros
Apartamentos,110m²,977139,3,4,2,Jóquei
Apartamentos,79m²,290000,3,1,1,Vale do Gavião
Apartamentos,50m²,215251,2,1,1,Uruguai
Apartamentos,49m²,130000,2,1,1,Piçarreira
Apartamentos,68m²,280000,3,2,1,Piçarreira
Apartamentos,60m²,275000,2,2,1,Uruguai
Apartamentos,153m²,1400000,3,4,5 ou mais,Núcleo Urbano Fazenda Real
Apartamentos,78m²,490000,3,3,,Monte Castelo
Casas,65m²,250000,2,2,2,
Apartamentos,51m²,220000,2,1,1,Aeroporto
Apartamentos,40m²,130000,2,1,1,Cristo Rei
Apartamentos,49m²,150000,2,1,1,Santa Isabel
Apartamentos,59m²,350000,2,1,1,Recanto das Palmeiras
Apartamentos,64m²,350000,2,2,1,Fátima
Apartamentos,72m²,398000,3,3,2,Noivos
Apartamentos,48m²,164990,2,1,1,Cidade Jardim
Casas,215m²,1800000,4,4,2,Uruguai
Casas,294m²,1650000,4,5 ou mais,5 ou mais,Morros
Apartamentos,65m²,190000,3,2,1,Novo Horizonte
Apartamentos,130m²,1300000,4,5 ou mais,2,Fátima
Apartamentos,60m²,280000,2,1,1,Santa Isabel
Casas,315m²,2600000,4,5 ou mais,4,Gurupi
Apartamentos,43m²,35000,2,1,1,Novo Horizonte
Apartamentos,42m²,180000,2,1,1,Uruguai
Apartamentos,150m²,130000,2,1,1,Nova Brasília
Apartamentos,225m²,2185000,4,4,4,Jóquei
Casas,150m²,200000,4,2,4,
Apartamentos,107m²,890000,3,4,2,Horto
Apartamentos,77m²,360000,3,2,2,Morros
Apartamentos,60m²,125000,2,1,1,Morada Nova
Apartamentos,90m²,472600,3,1,2,São Cristóvão
Casas,140m²,750000,4,5 ou mais,2,Zoobotânico
Casas,240m²,600000,3,1,4,Morada do Sol
Casas,160m²,380000,4,4,3,Saci
Apartamentos,67m²,280000,3,1,1,Noivos
Apartamentos,227m²,2000000,4,5 ou mais,4,Jóquei
Casas,240m²,770000,3,4,4,Morros
Apartamentos,50m²,110000,1,2,1,
Apartamentos,107m²,480000,3,3,2,Horto
Apartamentos,130m²,1000000,3,3,2,Fátima
Casas,200m²,450000,3,1,3,
Apartamentos,276m²,1600000,3,5 ou mais,5 ou mais,Jóquei
Apartamentos,62m²,204000,3,2,1,Parque Ideal
Casas,575m²,2950000,4,5 ou mais,4,Uruguai
Apartamentos,50m²,196000,2,1,1,Vale Quem Tem
Apartamentos,77m²,300000,3,3,1,Porto do Centro
Casas,217m²,750000,4,4,5 ou mais,Ininga
