Categoria,Area construida,Preço,Quartos,Banheiros,Vagas,Bairro
Casas,136m²,350000,3,2,1,Lourival Parente
Casas,80m²,290000,2,2,2,Piçarreira
Apartamentos,73m²,150000,1,1,1,Cabral
Apartamentos,130m²,680000,2,3,2,Fátima
Casas,160m²,385000,3,2,4,Buenos Aires
Apartamentos,59m²,561202,1,1,1,Ininga
Casas,130m²,330000,3,2,2,Porto do Centro
Casas,170m²,550000,4,2,4,Santa Isabel
Apartamentos,58m²,125000,2,1,1,Cidade Nova
Casas,57m²,193900,2,1,2,Verde Lar
Apartamentos,78m²,498100,3,1,2,Monte Castelo
Apartamentos,190m²,1800000,3,4,3,Jóquei
Apartamentos,60m²,300000,2,2,2,Morros
Apartamentos,43m²,160000,2,1,1,Uruguai
Apartamentos,60m²,200000,3,2,1,Vale Quem Tem
Apartamentos,99m²,250000,3,2,2,Campestre
Casas,175m²,890000,4,5 ou mais,4,Gurupi
Casas,250m²,800000,3,4,5 ou mais,Ininga
Apartamentos,67m²,260000,3,2,1,Planalto
Casas,200m²,480000,3,3,4,Morada do Sol
Apartamentos,77m²,240000,3,3,3,Santa Isabel
Casas,90m²,330000,2,1,2,Vale Quem Tem
Apartamentos,76m²,650000,3,3,,Horto
Casas,250m²,500000,3,2,3,Itararé
Apartamentos,74m²,355000,3,2,1,Santa Isabel
Apartamentos,32m²,288000,1,1,1,Horto
Casas,223m²,799000,4,5 ou mais,4,Planalto
Apartamentos,64m²,200000,3,2,1,Gurupi
Apartamentos,59m²,215000,2,2,1,Uruguai
Casas,240m²,1950000,3,2,2,Tabajaras
Casas,405m²,3200000,4,4,2,Tabajaras
Casas,186m²,995000,4,4,4,Ininga
Apartamentos,54m²,220000,2,2,1,São Cristóvão
Casas,85m²,120000,2,2,3,Aroeiras
Apartamentos,186m²,1191000,4,5 ou mais,0,Noivos
Casas,140m²,350000,3,3,1,Parque Piauí
Casas,60m²,60000,2,1,4,João XXIII
Apartamentos,74m²,440000,3,3,2,Santa Isabel
Casas,343m²,2100000,4,4,2,Tabajaras
Casas,360m²,600000,5 ou mais,4,5 ou mais,
Apartamentos,45m²,40000,2,1,1,
Apartamentos,46m²,130000,2,1,1,Vale do Gavião
Casas,400m²,900000,4,5 ou mais,4,Centro
Apartamentos,52m²,288000,2,2,1,São Cristóvão
Casas,100m²,380000,3,2,,Piçarreira
Casas,203m²,255000,3,1,2,Gurupi
Apartamentos,200m²,1550000,3,5 ou mais,5 ou mais,Jóquei
Casas,10m²,220000,2,3,2,Bela Vista
Apartamentos,187m²,1320000,4,4,3,Noivos
Casas,218m²,800000,3,3,3,Horto
Casas,77m²,311000,3,2,2,Tabajaras
Apartamentos,68m²,290000,3,2,2,Piçarreira
Casas,140m²,690000,3,3,4,Recanto das Palmeiras
Apartamentos,127m²,1200000,3,3,2,Horto
Casas,225m²,500000,3,2,4,São Cristóvão
Apartamentos,76m²,450000,3,3,2,São Cristóvão
Apartamentos,75m²,370000,3,3,2,São João
Casas,350m²,550000,3,4,4,Campestre
Apartamentos,125m²,650000,3,3,2,Ilhotas
Apartamentos,50m²,150000,2,1,1,Itararé
Apartamentos,62m²,561511,1,1,,Centro
Apartamentos,79m²,750000,3,1,2,Jóquei
Apartamentos,98m²,310000,3,3,2,Morada do Sol
Apartamentos,75m²,480000,3,3,1,Fátima
Casas,200m²,650000,3,2,3,Morada do Sol
Apartamentos,190m²,850000,3,4,2,Ininga
Casas,270m²,1100000,4,5 ou mais,5 ou mais,Morros
Casas,76m²,306200,3,3,2,Morros
Apartamentos,70m²,380000,3,3,1,Ininga
Apartamentos,77m²,330000,3,2,1,Horto
Casas,64m²,250000,2,1,1,
Apartamentos,46m²,140000,2,1,1,Uruguai
Casas,202m²,2000000,3,4,4,Gurupi
Casas,250m²,800000,3,4,5 ou mais,Ininga
Apartamentos,72m²,390000,3,2,2,Recanto das Palmeiras
Apartamentos,65m²,175000,1,1,1,Piçarreira
Casas,150m²,559000,3,1,2,Santa Isabel
Casas,198m²,495000,3,3,4,Morros
Apartamentos,244m²,2000000,4,5 ou mais,3,São Cristóvão
Apartamentos,76m²,387000,2,1,2,Morros
Apartamentos,57m²,347000,2,1,1,Noivos
Apartamentos,77m²,345000,3,3,1,Morada do Sol
Apartamentos,118m²,750000,3,1,2,Jóquei
Apartamentos,66m²,354800,3,2,2,Ilhotas
Casas,300m²,600000,3,4,3,Santa Isabel
Apartamentos,104m²,290000,3,3,1,Morada do Sol
Casas,88m²,225000,3,2,2,Santa Rosa
Casas,260m²,850000,3,3,,Ininga
Apartamentos,64m²,400000,3,3,2,Cristo Rei
Casas,400m²,1000000,5 ou mais,4,5 ou mais,Ininga
Casas,176m²,495000,3,3,4,Morros
Casas,177m²,1250000,3,3,2,Morros
Apartamentos,190m²,760000,2,3,2,Fátima
Apartamentos,60m²,155000,2,2,1,Centro
Apartamentos,60m²,300000,2,2,1,Morros
Casas,120m²,315000,4,4,2,Mocambinho
Apartamentos,210m²,1100000,3,4,4,Fátima
Casas,200m²,140000,2,1,,São Sebastião
Apartamentos,105m²,750000,3,2,2,Fátima
Casas,113m²,305000,3,2,,Piçarreira
Apartamentos,60m²,230000,2,2,1,Campestre
Apartamentos,59m²,226000,3,2,1,Vale Quem Tem
Apartamentos,62m²,315000,3,2,,Piçarreira
Casas,130m²,330000,3,2,2,Porto do Centro
Apartamentos,141m²,1174400,3,4,3,São Cristóvão
Apartamentos,47m²,140000,2,1,1,Vale do Gavião
Apartamentos,73m²,270000,3,1,1,Cristo Rei
Casas,160m²,160000,3,2,1,Vale Quem Tem
Casas,99m²,550000,3,1,5 ou mais,São Pedro
Apartamentos,50m²,135000,2,1,1,Vale do Gavião
Apartamentos,227m²,2000000,4,4,4,Fátima
Apartamentos,86m²,564990,3,4,2,Fátima
Apartamentos,127m²,650000,3,3,2,Fátima
Apartamentos,91m²,670000,3,2,2,Morada do Sol
Casas,110m²,200000,3,1,,Piçarreira
Casas,196m²,570000,5 ou mais,4,4,Santa Isabel
Apartamentos,48m²,140000,2,1,1,Tabajaras
Casas,130m²,330000,3,3,2,Porto do Centro
Casas,200m²,1000000,3,3,5 ou mais,Morada do Sol
Casas,149m²,390000,3,1,2,Primavera
Casas,58m²,260000,2,1,2,Lourival Parente
Apartamentos,100m²,299000,3,1,1,Cabral
Apartamentos,141m²,1154000,3,4,3,São Cristóvão
Casas,120m²,620000,4,4,2,Gurupi
Casas,70m²,350000,3,2,2,Gurupi
Casas,90m²,330000,2,1,2,Vale Quem Tem
Apartamentos,90m²,468100,3,1,2,São Cristóvão
Apartamentos,69m²,326000,3,1,2,Morros
Casas,243m²,780000,4,4,5 ou mais,Noivos
Apartamentos,108m²,790000,3,4,2,Fátima
Apartamentos,78m²,265000,3,3,1,Campestre
Apartamentos,70m²,380000,3,2,1,Santa Isabel
Casas,1020m²,400000,3,2,2,Saci
Casas,150m²,1000000,3,2,3,Morada do Sol
Apartamentos,180m²,2300000,4,5 ou mais,3,São Cristóvão
Apartamentos,80m²,700000,3,2,2,Ininga
Casas,243m²,750000,4,5 ou mais,4,Santa Isabel
Apartamentos,47m²,165000,2,1,1,Morada do Sol
Casas,113m²,390000,3,2,3,Piçarreira
Casas,117m²,250000,3,1,1,Centro
Casas,99m²,180000,3,1,1,Vale Quem Tem
Apartamentos,60m²,150000,3,1,1,Santa Isabel
Casas,253m²,650000,5 ou mais,1,,Gurupi
Apartamentos,159m²,1300000,3,4,3,Jóquei
Casas,280m²,550000,3,3,2,Campestre
Casas,90m²,169000,4,2,4,
Casas,156m²,280000,4,2,1,Memorare
Casas,440m²,1300000,4,5 ou mais,4,Socopo
Apartamentos,130m²,770000,3,2,2,Fátima
Apartamentos,107m²,550000,3,2,2,Ininga
Casas,100m²,444900,3,3,2,Porto do Centro
Apartamentos,42m²,185000,2,1,2,Morada do Sol
Casas,780m²,1000000,5 ou mais,4,,Recanto das Palmeiras
Apartamentos,145m²,756000,3,4,2,Recanto das Palmeiras
Apartamentos,86m²,562990,3,3,2,Jóquei
Apartamentos,75m²,290000,3,2,1,Piçarreira
Apartamentos,65m²,230000,3,2,1,Recanto das Palmeiras
Apartamentos,21m²,248000,2,1,0,São Cristóvão
Casas,296m²,950000,3,3,3,Morada do Sol
Casas,333m²,1500000,4,5 ou mais,5 ou mais,Gurupi
Casas,100m²,449900,3,3,2,Morros
Apartamentos,303m²,2700000,5 ou mais,5 ou mais,4,Fátima
Apartamentos,55m²,160000,2,2,1,Gurupi
Casas,192m²,650000,3,3,2,Ininga
Apartamentos,93m²,580000,3,3,2,Jóquei
Apartamentos,49m²,160000,2,1,1,Piçarra
Apartamentos,60m²,220000,2,2,1,Cristo Rei
Apartamentos,106m²,890000,3,3,2,Horto
Casas,140m²,690000,4,5 ou mais,,Zoobotânico
Apartamentos,94m²,540000,3,3,2,Monte Castelo
Casas,300m²,70000,3,2,4,São Pedro
Apartamentos,53m²,300000,2,2,1,São Cristóvão
Apartamentos,55m²,230000,2,2,1,Gurupi
Apartamentos,103m²,490000,3,2,2,Noivos
Apartamentos,76m²,490000,3,2,2,Monte Castelo
Apartamentos,74m²,220000,3,2,1,Monte Castelo
Apartamentos,62m²,329500,3,1,1,Nossa Senhora das Graças
Apartamentos,94m²,250000,3,3,1,Piçarra
Casas,180m²,750000,4,4,5 ou mais,São Cristóvão
Casas,311m²,700000,4,4,2,Gurupi
Casas,110m²,280000,3,2,3,Centro
Apartamentos,50m²,245000,2,2,1,Uruguai
Apartamentos,130m²,1115066,3,3,2,Jóquei
Casas,76m²,274600,3,3,2,Morros
Apartamentos,78m²,534300,3,3,2,Fátima
Casas,200m²,550000,4,3,3,João XXIII
Casas,600m²,2200000,5 ou mais,5 ou mais,5 ou mais,Jóquei
Apartamentos,67m²,343902,3,2,1,Primavera
Casas,150m²,350000,3,2,2,Novo Horizonte
Apartamentos,66m²,315000,3,1,1,Gurupi
Casas,800m²,3000000,4,5 ou mais,5 ou mais,Ininga
Apartamentos,100m²,260000,4,3,2,Campestre
Apartamentos,49m²,125000,2,2,1,Colorado
Casas,342m²,,4,5 ou mais,4,Morada do Sol
Apartamentos,89m²,,3,2,1,Cabral
Casas,360m²,,5 ou mais,5 ou mais,4,Novo Uruguai
Apartamentos,72m²,,3,2,1,Tabuleta
Casas,300m²,,4,1,5 ou mais,São Sebastião
Apartamentos,65m²,,3,2,2,Uruguai
Casas,67m²,,3,2,2,Socopo
Casas,205m²,,3,4,2,Uruguai
Apartamentos,75m²,,3,2,2,Cristo Rei
Apartamentos,80m²,,3,3,2,Horto
Apartamentos,300m²,,4,2,5 ou mais,
Apartamentos,49m²,,2,2,1,Cidade Nova
Casas,65m²,,2,1,1,
Casas,260m²,,3,2,3,Cidade Nova
Casas,5 ou mais,,,,,Gurupi
Apartamentos,48m²,,2,1,1,Tabajaras
Casas,192m²,,4,5 ou mais,2,Piçarra
Apartamentos,49m²,,2,1,1,Uruguai
Casas,140m²,,3,3,5 ou mais,Horto
Casas,90m²,,4,3,2,Jóquei
Apartamentos,119m²,,3,4,2,Recanto das Palmeiras
Casas,180m²,,4,1,2,Morros
Apartamentos,225m²,,4,5 ou mais,4,Jóquei
Apartamentos,59m²,,2,2,1,Cidade Jardim
Casas,110m²,,4,4,2,Morros
Casas,156m²,,3,2,2,São Cristóvão
Apartamentos,85m²,,3,3,2,Jóquei
Apartamentos,48m²,,2,1,1,Centro
Apartamentos,130m²,,3,1,2,Fátima
Casas,360m²,,3,2,2,Vale Quem Tem
Casas,220m²,,4,4,3,Santa Isabel
Casas,809m²,,3,4,2,Planalto
Apartamentos,155m²,,3,3,2,Jóquei
Apartamentos,58m²,,2,2,2,Ininga
Casas,520m²,,3,3,4,Uruguai
Casas,360m²,,5 ou mais,5 ou mais,3,Uruguai
Apartamentos,100m²,,3,3,2,Jóquei
Apartamentos,80m²,,3,2,2,Ininga
Apartamentos,53m²,,2,1,1,Aeroporto
Apartamentos,66m²,,3,2,2,Uruguai
Casas,100m²,,3,1,2,Gurupi
Apartamentos,107m²,,3,1,2,Jóquei
Apartamentos,62m²,,3,2,1,Parque Ideal
Apartamentos,45m²,,2,1,1,Vermelha
Casas,480m²,,4,5 ou mais,4,Recanto das Palmeiras
Apartamentos,75m²,,3,2,1,Piçarreira
Apartamentos,58m²,,2,2,1,Santa Isabel
Casas,270m²,,4,3,5 ou mais,Ininga
Apartamentos,80m²,,3,2,1,Cristo Rei
Apartamentos,107m²,,3,3,2,Jóquei
Apartamentos,60m²,,3,2,1,Comprida
Apartamentos,99m²,,3,4,1,Santa Isabel
Casas,200m²,,3,3,3,Uruguai
Apartamentos,64m²,,3,2,1,Gurupi
Casas,203m²,,3,3,2,Tabajaras
Casas,280m²,,4,3,5 ou mais,Ininga
Casas,296m²,,4,5 ou mais,5 ou mais,Uruguai
Casas,186m²,,4,4,4,Ininga
Apartamentos,64m²,,3,2,1,Gurupi
Casas,190m²,,3,4,2,Uruguai
Casas,82m²,,3,3,2,Morros
Casas,156m²,,3,3,2,Uruguai
Casas,287m²,,4,4,4,Gurupi
Casas,97m²,,3,4,2,Morros
Apartamentos,107m²,,3,3,2,Jóquei
Apartamentos,198m²,,3,4,2,Ilhotas
Apartamentos,75m²,,3,1,1,Ininga
Apartamentos,47m²,,2,1,1,Cidade Nova
Casas,145m²,,3,2,2,Morros
Apartamentos,119m²,,3,3,2,São João
Apartamentos,192m²,,4,3,3,Jóquei
Apartamentos,70m²,,2,2,2,Recanto das Palmeiras
Casas,200m²,,5 ou mais,2,5 ou mais,Centro
Apartamentos,67m²,,3,2,2,Uruguai
Apartamentos,218m²,,3,3,2,Jóquei
Casas,267m²,,4,3,2,Ininga
Apartamentos,166m²,,3,4,2,Fátima
Apartamentos,100m²,,3,1,2,Horto
Casas,90m²,,3,2,2,Gurupi
Apartamentos,99m²,,3,1,2,Campestre
Apartamentos,98m²,,3,2,1,Campestre
Casas,390m²,,3,2,3,Recanto das Palmeiras
Apartamentos,46m²,,2,1,,Vale do Gavião
Apartamentos,105m²,,3,3,2,Fátima
Apartamentos,53m²,,2,1,1,Aeroporto
Apartamentos,70m²,,2,2,2,Ininga
Casas,130m²,,5 ou mais,3,3,Nossa Senhora das Graças
Apartamentos,127m²,,3,3,1,São João
Casas,99m²,,3,3,2,Gurupi
Casas,167m²,,3,3,2,Ininga
Casas,90m²,,2,1,1,Vale Quem Tem
Apartamentos,47m²,,2,1,1,Uruguai
Apartamentos,48m²,,2,1,1,Vale do Gavião
Apartamentos,69m²,,3,2,,Gurupi
Apartamentos,210m²,,3,4,4,Fátima
Apartamentos,83m²,,3,2,1,Noivos
Casas,236m²,,4,4,2,Uruguai
Casas,220m²,,4,4,2,Uruguai
Apartamentos,119m²,,3,1,2,Jóquei
Apartamentos,64m²,,3,2,1,Todos os Santos
Casas,120m²,,3,4,3,Gurupi
Casas,172m²,,4,1,2,Morros
Apartamentos,38m²,,2,1,1,Livramento
Casas,250m²,,4,2,3,São Cristóvão
Apartamentos,100m²,,3,2,2,Fátima
Casas,120m²,,3,3,2,Uruguai
Casas,120m²,,4,4,2,Gurupi
Apartamentos,70m²,,3,2,2,Uruguai
Casas,233m²,,4,3,4,Santa Isabel
Apartamentos,64m²,,3,2,,Gurupi
Casas,58m²,,2,1,,
Casas,240m²,,5 ou mais,5 ou mais,2,Uruguai
Casas,375m²,,4,5 ou mais,5 ou mais,Tabajaras
Casas,77m²,,2,3,2,Tabajaras
Casas,149m²,,3,2,3,Vale Quem Tem
Apartamentos,62m²,,3,2,1,Gurupi
Casas,130m²,,3,4,3,Gurupi
Apartamentos,46m²,,2,1,1,Vale do Gavião
Apartamentos,49m²,,2,1,1,Aroeiras
Casas,220m²,,4,5 ou mais,4,Uruguai
Casas,320m²,1100000,4,4,,Mocambinho
Casas,180m²,1050000,4,4,2,Horto
Casas,384m²,380000,4,4,3,Santa Isabel
Casas,250m²,1650000,4,3,2,Uruguai
Casas,245m²,2100000,4,4,2,Uruguai
Casas,491m²,3100000,4,5 ou mais,3,Tabajaras
Casas,600m²,2980000,5 ou mais,5 ou mais,4,Uruguai
Casas,137m²,460000,3,2,2,Gurupi
Apartamentos,74m²,470000,3,2,1,Santa Isabel
Casas,137m²,860000,4,5 ou mais,3,Morros
Casas,600m²,2980000,5 ou mais,5 ou mais,4,Uruguai
Apartamentos,86m²,562990,3,1,2,Fátima
Apartamentos,284m²,1300000,5 ou mais,5 ou mais,5 ou mais,Recanto das Palmeiras
Casas,358m²,2980000,5 ou mais,5 ou mais,4,Novo Uruguai
Casas,322m²,1299000,4,4,5 ou mais,Ininga
Casas,220m²,280000,4,3,2,Santa Cruz
Casas,137m²,860000,4,5 ou mais,3,Morros
Casas,322m²,1299000,4,4,5 ou mais,Ininga
Casas,226m²,750000,4,5 ou mais,5 ou mais,Fátima
Casas,200m²,870000,4,5 ou mais,5 ou mais,Ininga
Apartamentos,59m²,350000,2,2,2,Recanto das Palmeiras
Apartamentos,97m²,210000,2,2,1,São Sebastião
Apartamentos,57m²,320000,2,2,1,Noivos
Apartamentos,74m²,220000,3,2,1,Cristo Rei
Apartamentos,52m²,175000,2,2,1,Uruguai
Casas,396m²,450000,3,1,4,Piçarreira
Casas,246m²,1500000,3,4,4,Uruguai
Apartamentos,72m²,375000,3,1,2,Morros
Casas,125m²,395000,3,2,2,Gurupi
Apartamentos,48m²,160000,2,1,1,Cidade Jardim
Apartamentos,55m²,220000,2,1,1,São Cristóvão
Casas,200m²,930000,3,1,5 ou mais,Fátima
Apartamentos,542m²,3000000,4,5 ou mais,4,Uruguai
Casas,542m²,3000000,4,5 ou mais,4,Uruguai
Apartamentos,90m²,230000,3,3,1,Piçarra
Casas,246m²,1500000,3,4,4,Uruguai
Apartamentos,55m²,210000,2,1,1,Piçarreira
Apartamentos,59m²,332844,3,2,2,Jóquei
Casas,48m²,135000,2,1,0,Tabajaras
Casas,160m²,200000,3,1,1,Porto do Centro
Casas,65m²,29186,2,1,2,
Casas,287m²,850000,5 ou mais,5 ou mais,4,São João
Casas,70m²,190000,3,1,1,Cidade Jardim
Casas,287m²,850000,5 ou mais,5 ou mais,4,São João
Casas,100m²,437800,3,1,2,Gurupi
Apartamentos,59m²,230000,3,1,2,Santa Lia
Casas,210m²,1450000,4,4,2,Uruguai
Apartamentos,86m²,225000,3,2,1,Morada do Sol
Apartamentos,42m²,130000,2,1,1,Santa Lia
Casas,75m²,150000,3,1,2,Vale Quem Tem
Casas,95m²,250000,3,3,2,Vale Quem Tem
Apartamentos,70m²,300000,2,2,1,Ininga
Apartamentos,49m²,140000,2,2,1,Vale do Gavião
Apartamentos,92m²,444900,3,4,2,Morros
Apartamentos,56m²,275181,2,2,2,Uruguai
Apartamentos,38m²,175000,2,1,1,Gurupi
Casas,236m²,1490000,4,1,2,Uruguai
Casas,65m²,190000,2,2,3,Centro
Casas,178m²,495000,3,4,4,Morros
Casas,100m²,385000,3,2,1,Primavera
Apartamentos,59m²,165000,2,1,1,Parque Ideal
Apartamentos,70m²,200000,3,2,1,Cristo Rei
Apartamentos,101m²,350000,3,2,1,Jóquei
Apartamentos,72m²,390000,3,2,2,Horto
Casas,55m²,21706,2,1,,
Apartamentos,72m²,350000,3,3,1,Horto
Apartamentos,67m²,300000,2,1,1,Santa Isabel
Apartamentos,49m²,138000,2,1,1,Itararé
Apartamentos,77m²,390000,2,2,2,Noivos
Casas,200m²,850000,4,4,,Santa Isabel
Casas,182m²,1300000,3,3,4,Uruguai
Apartamentos,160m²,1600000,3,4,3,Jóquei
Apartamentos,160m²,1600000,3,4,,Jóquei
Apartamentos,76m²,630000,3,3,2,Horto
Casas,200m²,640000,3,2,3,Santa Isabel
Casas,200m²,850000,4,4,,Santa Isabel
Apartamentos,190m²,850000,3,3,2,Horto
Casas,200m²,650000,4,2,3,Morada do Sol
Apartamentos,280m²,1250000,4,4,5 ou mais,Ininga
Apartamentos,190m²,850000,3,1,2,Ininga
Casas,280m²,1250000,4,4,5 ou mais,Ininga
Casas,180m²,750000,4,4,2,Morros
Casas,800m²,3000000,4,5 ou mais,5 ou mais,Ininga
Casas,56m²,32023,2,1,,
Casas,182m²,980000,4,4,2,Horto
Apartamentos,60m²,210000,2,1,1,Cristo Rei
Casas,240m²,750000,4,4,5 ou mais,Morada do Sol
Casas,182m²,980000,4,4,2,Horto
Casas,240m²,750000,4,4,5 ou mais,Morada do Sol
Casas,520m²,2400000,3,3,4,Uruguai
Casas,235m²,1500000,4,4,2,Uruguai
Apartamentos,145m²,1190000,4,3,3,Jóquei
Apartamentos,160m²,494940,2,2,2,
Casas,175m²,890000,4,1,4,Gurupi
Apartamentos,74m²,470000,3,2,1,Santa Isabel
Casas,500m²,550000,4,1,5 ou mais,Primavera
Casas,105m²,500000,3,3,2,Parque São João
Apartamentos,126m²,750000,3,3,2,Jóquei
Apartamentos,62m²,350000,2,2,1,Fátima
Apartamentos,130m²,1359199,4,5 ou mais,2,Fátima
Apartamentos,210m²,1000000,3,4,4,Fátima
Apartamentos,77m²,280000,3,3,1,Horto
Casas,80m²,170000,2,2,3,João XXIII
Apartamentos,51m²,220000,2,1,1,Aeroporto
Casas,480m²,600000,5 ou mais,5 ou mais,0,Bela Vista
Casas,200m²,375000,4,1,3,Alto Alegre
Casas,300m²,1100000,3,3,,Ininga
Apartamentos,42m²,145000,2,1,1,Morada do Sol
Apartamentos,80m²,720000,3,2,2,Ininga
Apartamentos,78m²,468000,3,2,2,São Cristóvão
Apartamentos,80m²,240000,3,2,1,Santa Isabel
Casas,261m²,2300000,4,4,2,Uruguai
Casas,165m²,1150000,4,4,2,Horto
Apartamentos,51m²,120000,2,2,1,Colorado
Apartamentos,69m²,280000,3,2,2,Morros
Apartamentos,48m²,170000,2,1,1,Uruguai
Apartamentos,300m²,2300000,5 ou mais,5 ou mais,4,Cabral
Casas,159m²,330000,3,2,2,Parque Piauí
Casas,100m²,600000,2,2,2,Planalto
Casas,1000m²,2800000,5 ou mais,5 ou mais,5 ou mais,Planalto
Apartamentos,97m²,270000,3,2,1,Ilhotas
Apartamentos,304m²,2507000,5 ou mais,5 ou mais,4,Jóquei
Apartamentos,62m²,285000,3,1,1,Gurupi
Apartamentos,45m²,135000,2,1,1,Livramento
Apartamentos,46m²,155000,2,1,1,Morada do Sol
Apartamentos,83m²,250000,3,3,1,São Cristóvão
Casas,173m²,630000,2,2,3,
Apartamentos,69m²,295000,3,2,1,Ininga
Apartamentos,80m²,700000,2,3,2,Fátima
Apartamentos,81m²,440000,3,3,2,Horto
Apartamentos,58m²,254224,3,1,1,Zoobotânico
Apartamentos,5511m²,170000,2,2,1,Todos os Santos
Apartamentos,74m²,290000,3,2,2,Morros
Apartamentos,90m²,458000,3,3,2,São Cristóvão
Casas,240m²,1950000,4,3,2,Tabajaras
Casas,110m²,280000,3,2,3,Centro
Apartamentos,50m²,245000,2,2,1,Uruguai
Apartamentos,130m²,1115066,3,3,2,Jóquei
Casas,76m²,274600,3,3,2,Morros
Apartamentos,78m²,534300,3,3,2,Fátima
Casas,200m²,550000,4,3,3,João XXIII
Apartamentos,50m²,240000,2,2,1,Uruguai
Casas,107m²,589325,3,4,3,Morros
Apartamentos,60m²,300000,2,1,1,Santa Isabel
Apartamentos,78m²,460000,3,3,2,Horto
Apartamentos,67m²,310000,3,1,1,Gurupi
Apartamentos,62m²,250000,3,1,1,Uruguai
Casas,105m²,400000,3,2,2,Gurupi
Apartamentos,59m²,185000,3,1,1,Tancredo Neves
Casas,233m²,720000,3,3,4,Ilhotas
Apartamentos,67m²,280000,3,1,1,Noivos
Casas,400m²,50000,1,1,1,Satélite
Casas,151m²,750000,4,4,2,Gurupi
Casas,207m²,380000,4,3,2,Centro
Casas,316m²,2600000,5 ou mais,5 ou mais,4,Gurupi
Casas,140m²,800000,4,5 ou mais,2,Zoobotânico
Casas,400m²,480000,3,2,3,Centro
Apartamentos,105m²,650000,3,3,2,Horto
Apartamentos,107m²,860000,3,3,2,Jóquei
Casas,120m²,850000,2,1,,
Apartamentos,74m²,355000,3,2,1,Santa Isabel
Apartamentos,59m²,325000,2,2,2,Recanto das Palmeiras
Casas,150m²,390000,3,2,2,
Apartamentos,130m²,1048029,3,3,2,Fátima
Apartamentos,62m²,200000,3,1,1,Parque Ideal
Casas,135m²,240000,3,2,2,Buenos Aires
Apartamentos,60m²,336890,2,1,1,Fátima
Casas,205m²,1400000,4,4,2,Uruguai
Apartamentos,80m²,560000,3,2,2,Ininga
Apartamentos,56m²,145000,3,1,1,Aeroporto
Casas,179m²,649990,3,2,3,Morada do Sol
Apartamentos,62m²,278100,3,3,2,Nossa Senhora das Graças
Apartamentos,161m²,800000,3,3,2,Frei Serafim
Apartamentos,228m²,1900000,4,4,2,Jóquei
Casas,113m²,215000,3,2,,Promorar
Apartamentos,56m²,239477,2,2,1,Uruguai
Apartamentos,77m²,439000,2,2,2,Noivos
Casas,222m²,1500000,4,4,3,São Cristóvão
Apartamentos,225m²,2479400,4,5 ou mais,4,Ininga
Casas,239m²,1700000,4,4,4,Tabajaras
Casas,176m²,780000,4,4,2,Morros
Casas,650m²,1750000,5 ou mais,3,5 ou mais,Centro
Apartamentos,81m²,220000,3,2,1,Noivos
Casas,280m²,1400000,4,4,5 ou mais,Ininga
Casas,215m²,450000,4,2,4,Acarape
Apartamentos,66m²,357416,3,1,1,Cabral
Apartamentos,78m²,200000,3,2,1,Tabuleta
Casas,258m²,750000,5 ou mais,5 ou mais,3,Santa Isabel
Casas,76m²,274600,3,3,2,Morros
Apartamentos,62m²,230000,3,2,1,Parque Ideal
Apartamentos,65m²,255000,3,2,2,São João
Casas,151m²,807000,5 ou mais,5 ou mais,3,Samapi
Casas,280m²,1400000,5 ou mais,4,5 ou mais,Ininga
Apartamentos,70m²,300000,3,2,1,Gurupi
Apartamentos,74m²,440000,3,3,1,Santa Isabel
Apartamentos,119m²,600000,4,4,2,Fátima
Apartamentos,308m²,2000000,5 ou mais,5 ou mais,4,Jóquei
Apartamentos,225m²,2163000,4,5 ou mais,4,Jóquei
Apartamentos,296m²,2200000,4,5 ou mais,3,Fátima
Casas,120m²,485000,4,2,2,Gurupi
Apartamentos,190m²,850000,3,3,,Ininga
Casas,92m²,278000,3,2,2,Bela Vista
Casas,464m²,950000,4,2,5 ou mais,Jóquei
Casas,56m²,23338,2,1,,
Apartamentos,107m²,931164,3,4,2,Jóquei
Casas,99m²,190000,3,2,2,Comprida
Casas,36m²,35000,1,1,0,Santa Maria
Apartamentos,141m²,1174400,3,3,3,São Cristóvão
Apartamentos,62m²,190000,2,2,1,Cristo Rei
Apartamentos,190m²,850000,3,1,2,Ininga
Apartamentos,92m²,740000,3,1,2,Morada do Sol
Apartamentos,65m²,410000,1,2,1,Fátima
Casas,250m²,1750000,4,4,3,Uruguai
Casas,129m²,450000,3,2,2,Aeroporto
Casas,200m²,190000,3,2,2,Vale Quem Tem
Casas,148m²,900000,4,4,4,Ininga
Apartamentos,60m²,327000,3,2,1,Recanto das Palmeiras
Casas,800m²,3000000,4,4,5 ou mais,Ininga
Apartamentos,76m²,370000,3,2,2,Morros
Casas,103m²,290000,3,2,4,Renascença
Apartamentos,130m²,1000000,3,3,2,Fátima
Apartamentos,200m²,1500000,3,3,2,Jóquei
Apartamentos,60m²,235000,3,3,1,Santa Isabel
Apartamentos,118m²,590990,3,1,3,Recanto das Palmeiras
Apartamentos,55m²,240000,2,1,1,Aeroporto
Apartamentos,82m²,300000,3,3,1,Noivos
Apartamentos,59m²,230000,2,2,1,Uruguai
Apartamentos,190m²,850000,3,5 ou mais,2,Ininga
Casas,367m²,3600000,3,4,4,Gurupi
Casas,300m²,900000,4,5 ou mais,3,São Cristóvão
Casas,128m²,423500,3,2,2,Centro
Casas,246m²,1500000,4,5 ou mais,2,Uruguai
